trace_id,event_id,org:group,resource country,organization country,resource,organization involved,org:role,impact,product,timestamp,activity
1-236817141,1,Org line A2,Sweden,cn,Tomas,G167 2nd,A2_2,Medium,PROD681,2009-12-02 13:24:34+00:00,Accepted_Wait
1-236817141,2,Org line A2,Sweden,cn,Tomas,G167 2nd,A2_2,Medium,PROD681,2010-08-25 09:06:45+00:00,Queued_Awaiting Assignment
1-236817141,3,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Medium,PROD681,2011-09-03 06:02:11+00:00,Accepted_In Progress
1-236817141,4,Org line A2,Sweden,cn,Niklas,G167 2nd,A2_2,Medium,PROD681,2011-11-14 15:09:27+00:00,Accepted_Assigned
1-236817141,5,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Medium,PROD681,2012-01-05 13:08:18+00:00,Accepted_In Progress
1-236817141,6,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Medium,PROD681,2012-01-05 13:09:00+00:00,Completed_Closed
1-270399977,0,Org line V7n,Netherlands,nl,Juan,V32 2nd,,High,PROD542,2008-11-13 08:43:32+00:00,Accepted_In Progress
1-270399977,1,Org line V7n,Netherlands,nl,Juan,V32 2nd,,High,PROD542,2012-01-30 09:56:24+00:00,Accepted_In Progress
1-270399977,2,Org line V7n,Netherlands,nl,Juan,V32 2nd,,High,PROD542,2012-01-30 10:12:05+00:00,Accepted_In Progress
1-270399977,3,Org line V7n,Netherlands,nl,Earl,V32 2nd,,High,PROD542,2012-02-16 13:52:16+00:00,Queued_Awaiting Assignment
1-270399977,4,Org line V7n,Netherlands,nl,Juan,V37 2nd,,High,PROD542,2012-02-16 14:09:17+00:00,Accepted_In Progress
1-270399977,5,Org line V7n,Netherlands,nl,Earl,V32 2nd,,High,PROD542,2012-02-16 14:09:43+00:00,Queued_Awaiting Assignment
1-270399977,6,Org line V7n,Netherlands,nl,Juan,V37 2nd,,High,PROD542,2012-02-16 14:10:10+00:00,Accepted_In Progress
1-270399977,7,Org line V7n,Netherlands,nl,Juan,V37 2nd,,High,PROD542,2012-03-19 08:26:32+00:00,Completed_Closed
1-270427461,0,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Low,PROD753,2008-11-13 10:01:04+00:00,Accepted_In Progress
1-270427461,1,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Low,PROD753,2009-12-02 13:24:35+00:00,Accepted_Wait
1-270427461,2,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Low,PROD753,2011-11-14 14:57:27+00:00,Accepted_In Progress
1-270427461,3,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Low,PROD753,2012-01-18 09:17:14+00:00,Accepted_In Progress
1-270427461,4,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Low,PROD753,2012-01-18 09:19:21+00:00,Completed_Closed
1-310231291,0,Org line A2,Sweden,se,Mats,M18 2nd,A2_1,Medium,PROD38,2009-06-25 07:47:52+00:00,Accepted_In Progress
1-310231291,1,Org line A2,Sweden,se,Mats,M18 2nd,A2_1,Medium,PROD38,2012-03-28 11:10:36+00:00,Accepted_In Progress
1-310231291,2,Org line A2,Sweden,se,Mats,M18 2nd,A2_1,Medium,PROD38,2012-03-28 11:12:08+00:00,Completed_Closed
1-316086072,0,Org line C,Sweden,se,Per,G260 2nd,E_10,Medium,PROD425,2009-08-11 06:44:51+00:00,Accepted_In Progress
1-316086072,1,Org line C,Sweden,se,Per,G260 2nd,E_10,Medium,PROD425,2009-08-11 06:55:12+00:00,Queued_Awaiting Assignment
1-316086072,2,Org line C,Sweden,se,Per,G260 2nd,E_10,Medium,PROD425,2009-08-11 10:01:25+00:00,Accepted_Assigned
1-316086072,3,Org line C,Sweden,se,Per,G260 2nd,E_10,Medium,PROD425,2010-05-18 10:35:53+00:00,Queued_Awaiting Assignment
1-316086072,4,Org line C,Sweden,se,Tony,G152 3rd,C_6,Medium,PROD425,2010-06-16 10:00:32+00:00,Accepted_In Progress
1-316086072,5,Org line C,Sweden,se,Tony,G152 3rd,C_6,Medium,PROD425,2011-10-01 20:40:28+00:00,Accepted_Wait
1-316086072,6,Org line C,Sweden,se,Tony,G260 2nd,E_10,Medium,PROD425,2011-12-07 11:41:00+00:00,Queued_Awaiting Assignment
1-316086072,7,Org line C,Sweden,se,Reza,G150 2nd,E_10,Medium,PROD425,2012-02-15 11:01:20+00:00,Accepted_In Progress
1-316086072,8,Org line C,Sweden,se,Reza,G150 2nd,E_10,Medium,PROD425,2012-02-19 20:57:21+00:00,Completed_Closed
1-320604521,0,Org line C,Sweden,se,Richard,G237 3rd,C_6,Low,PROD498,2009-09-07 12:33:24+00:00,Accepted_In Progress
1-320604521,1,Org line C,Sweden,se,Richard,G237 3rd,C_6,Low,PROD498,2009-09-14 09:37:50+00:00,Unmatched_Unmatched
1-320604521,2,Org line C,Sweden,se,Richard,G237 3rd,C_6,Low,PROD498,2012-04-30 10:21:43+00:00,Completed_Closed
1-322204195,0,Org line A2,POLAND,pl,Adam,W16 3rd,A2_1,Medium,PROD761,2009-09-16 20:42:12+00:00,Queued_Awaiting Assignment
1-322204195,1,Org line A2,POLAND,pl,Adam,W16 3rd,A2_1,Medium,PROD761,2009-09-28 09:26:19+00:00,Accepted_In Progress
1-322204195,2,Org line A2,POLAND,pl,Adam,W16 3rd,A2_1,Medium,PROD761,2009-09-28 09:26:30+00:00,Accepted_Wait
1-322204195,3,Org line A2,POLAND,pl,Adam,W16 3rd,A2_1,Medium,PROD761,2010-04-08 10:09:22+00:00,Queued_Awaiting Assignment
1-322204195,4,Org line A2,POLAND,pl,Adam,W15 2nd,A2_1,Medium,PROD761,2010-04-08 10:11:51+00:00,Queued_Awaiting Assignment
1-322204195,5,Org line A2,POLAND,pl,Adam,W15 2nd,A2_1,Medium,PROD761,2010-04-12 08:05:58+00:00,Accepted_In Progress
1-322204195,6,Org line A2,POLAND,pl,Adam,W15 2nd,A2_1,Medium,PROD761,2010-04-12 08:10:24+00:00,Accepted_Wait
1-322204195,7,Org line A2,POLAND,pl,Adam,W15 2nd,A2_1,Medium,PROD761,2011-10-18 14:09:14+00:00,Accepted_In Progress
1-322204195,8,Org line A2,POLAND,pl,Adam,W15 2nd,A2_1,Medium,PROD761,2012-05-24 08:02:19+00:00,Accepted_Wait
1-322204195,9,Org line A2,POLAND,pl,Adam,W15 2nd,A2_1,Medium,PROD761,2012-05-24 09:03:31+00:00,Completed_Closed
1-322581861,0,Org line C,Sweden,se,Stefan,L54 2nd,E_3,Low,PROD385,2009-09-18 10:50:02+00:00,Accepted_In Progress
1-322581861,1,Org line C,Sweden,se,Stefan,L54 2nd,E_3,Low,PROD385,2009-11-17 13:07:38+00:00,Unmatched_Unmatched
1-322581861,2,Org line C,Sweden,se,Stefan,L54 2nd,E_3,Low,PROD385,2012-03-13 10:53:35+00:00,Completed_Closed
1-322980802,0,Org line V2,Sweden,se,Kerstin,T2 2nd,,Medium,PROD631,2009-09-21 12:13:43+00:00,Accepted_In Progress
1-322980802,1,Org line V2,Sweden,se,Kerstin,T2 2nd,,Medium,PROD631,2012-02-07 12:22:11+00:00,Completed_Closed
1-323264491,0,Org line C,Sweden,se,Reine,N1 3rd,C_5,Low,PROD476,2009-09-22 12:22:05+00:00,Accepted_In Progress
1-323264491,1,Org line C,Sweden,se,Reine,N1 3rd,C_5,Low,PROD476,2009-09-22 12:25:17+00:00,Accepted_Assigned
1-323264491,2,Org line C,Sweden,se,Reine,N1 3rd,C_5,Low,PROD476,2012-05-24 08:57:49+00:00,Completed_Closed
1-323462732,0,Org line A2,Sweden,in,Rajashekar,L50 3rd,D_1,High,PROD611,2009-09-23 09:52:27+00:00,Accepted_In Progress
1-323462732,1,Org line A2,Sweden,in,Rajashekar,L50 3rd,D_1,High,PROD611,2010-01-04 08:00:17+00:00,Accepted_Assigned
1-323462732,2,Org line A2,Sweden,in,Rajashekar,L50 3rd,D_1,High,PROD611,2010-03-17 15:36:20+00:00,Accepted_In Progress
1-323462732,3,Org line A2,Sweden,in,Rajashekar,L50 3rd,D_1,High,PROD611,2010-11-09 11:35:55+00:00,Accepted_Assigned
1-323462732,4,Org line A2,Sweden,in,Rajashekar,L50 3rd,D_1,High,PROD611,2010-11-09 13:20:48+00:00,Accepted_In Progress
1-323462732,5,Org line A2,Sweden,in,Kalpesh,L50 3rd,D_1,High,PROD611,2012-03-30 06:00:47+00:00,Accepted_In Progress
1-323462732,6,Org line A2,INDIA,in,Tise,L50 3rd,D_1,High,PROD611,2012-03-30 06:05:44+00:00,Accepted_Assigned
1-323462732,7,Org line A2,INDIA,in,TulasiPrasad,L50 3rd,D_1,High,PROD611,2012-04-19 08:01:14+00:00,Accepted_In Progress
1-323462732,8,Org line A2,INDIA,in,TulasiPrasad,L50 3rd,D_1,High,PROD611,2012-04-19 08:01:38+00:00,Completed_Closed
1-327329880,0,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Medium,PROD753,2009-10-14 16:12:54+00:00,Accepted_In Progress
1-327329880,1,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Medium,PROD753,2009-12-02 13:24:37+00:00,Accepted_Wait
1-327329880,2,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Medium,PROD753,2011-09-01 22:22:08+00:00,Accepted_In Progress
1-327329880,3,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Medium,PROD753,2012-02-01 08:46:54+00:00,Accepted_In Progress
1-327329880,4,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Medium,PROD753,2012-02-01 08:46:57+00:00,Completed_Closed
1-329451027,0,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Low,PROD46,2009-10-26 13:47:10+00:00,Accepted_Wait
1-329451027,1,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Low,PROD46,2009-10-27 08:57:26+00:00,Unmatched_Unmatched
1-329451027,2,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Low,PROD46,2010-03-02 12:44:22+00:00,Queued_Awaiting Assignment
1-329451027,3,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Low,PROD46,2010-03-02 12:46:10+00:00,Accepted_In Progress
1-329451027,4,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Low,PROD46,2010-03-02 12:46:18+00:00,Accepted_Wait
1-329451027,5,Org line A2,POLAND,se,Damian,G357 2nd,A2_2,Low,PROD46,2011-04-11 07:10:20+00:00,Accepted_Assigned
1-329451027,6,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Low,PROD46,2011-04-11 07:11:48+00:00,Accepted_Assigned
1-329451027,7,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Low,PROD46,2011-11-28 07:21:27+00:00,Accepted_Wait
1-329451027,8,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Low,PROD46,2012-03-30 08:53:50+00:00,Accepted_In Progress
1-329451027,9,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Low,PROD46,2012-03-30 08:53:53+00:00,Completed_Closed
1-329647261,0,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Medium,PROD48,2009-10-27 08:42:40+00:00,Accepted_In Progress
1-329647261,1,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Medium,PROD48,2009-10-27 08:42:49+00:00,Accepted_Wait
1-329647261,2,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Medium,PROD48,2010-03-02 12:43:43+00:00,Queued_Awaiting Assignment
1-329647261,3,Org line A1,Brazil,se,Ricardo,N5 2nd,,Medium,PROD48,2010-03-02 12:44:26+00:00,Accepted_In Progress
1-329647261,4,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Medium,PROD48,2010-03-03 07:04:11+00:00,Accepted_In Progress
1-329647261,5,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Medium,PROD48,2010-06-13 20:32:03+00:00,Accepted_Wait
1-329647261,6,Org line A2,POLAND,se,Damian,G357 2nd,A2_2,Medium,PROD48,2011-04-11 07:12:04+00:00,Accepted_Assigned
1-329647261,7,Org line A2,POLAND,se,Damian,G357 2nd,A2_2,Medium,PROD48,2011-11-23 10:55:39+00:00,Accepted_Wait
1-329647261,8,Org line A2,POLAND,se,Damian,G357 2nd,A2_2,Medium,PROD48,2012-01-19 07:55:41+00:00,Completed_Closed
1-330634474,0,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Medium,PROD44,2009-10-30 12:49:04+00:00,Accepted_In Progress
1-330634474,1,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Medium,PROD44,2009-10-30 12:57:13+00:00,Accepted_Assigned
1-330634474,2,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Medium,PROD44,2010-03-02 12:43:50+00:00,Queued_Awaiting Assignment
1-330634474,3,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Medium,PROD44,2010-03-02 12:45:25+00:00,Accepted_In Progress
1-330634474,4,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Medium,PROD44,2010-03-02 12:45:37+00:00,Accepted_Wait
1-330634474,5,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Medium,PROD44,2012-03-30 08:54:30+00:00,Completed_Closed
1-331478885,0,Org line A2,Sweden,se,Roger,G357 2nd,A2_2,Medium,PROD46,2009-11-04 07:07:28+00:00,Accepted_In Progress
1-331478885,1,Org line A2,Sweden,se,Roger,G357 2nd,A2_2,Medium,PROD46,2010-03-03 14:51:55+00:00,Accepted_In Progress
1-331478885,2,Org line A2,POLAND,se,Piotr,G357 2nd,A2_2,Medium,PROD46,2010-03-03 14:52:18+00:00,Accepted_Assigned
1-331478885,3,Org line A2,POLAND,se,Piotr,G357 2nd,A2_2,Medium,PROD46,2010-05-24 15:04:58+00:00,Accepted_Assigned
1-331478885,4,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Medium,PROD46,2010-08-09 10:39:59+00:00,Accepted_Assigned
1-331478885,5,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Medium,PROD46,2012-04-02 08:18:59+00:00,Accepted_In Progress
1-331478885,6,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Medium,PROD46,2012-04-02 08:19:30+00:00,Completed_Closed
1-332389008,0,Org line V2,Sweden,se,Ingela,T12,,Medium,PROD42,2009-11-09 15:38:14+00:00,Queued_Awaiting Assignment
1-332389008,1,Org line V2,Sweden,se,Ingela,T12,,Medium,PROD42,2009-11-24 08:41:50+00:00,Accepted_In Progress
1-332389008,2,Org line V2,Sweden,se,Ingela,T12,,Medium,PROD42,2010-09-10 08:45:16+00:00,Accepted_Wait
1-332389008,3,Org line V2,Sweden,se,Ingela,T12,,Medium,PROD42,2011-03-28 09:52:46+00:00,Accepted_In Progress
1-332389008,4,Org line V2,Sweden,se,Ingela,T12,,Medium,PROD42,2012-01-04 14:53:26+00:00,Accepted_Wait
1-332389008,5,Org line V2,Sweden,se,Ingela,T12,,Medium,PROD42,2012-04-13 11:41:36+00:00,Completed_Closed
1-333164156,0,Org line A2,Belgium,be,Liesbet,G42 3rd,A2_1,Medium,PROD787,2009-11-12 12:41:27+00:00,Accepted_In Progress
1-333164156,1,Org line A2,Belgium,be,Liesbet,G42 3rd,A2_1,Medium,PROD787,2010-09-17 08:33:52+00:00,Accepted_In Progress
1-333164156,2,Org line A2,United Kingdom,be,Timothy,G42 3rd,A2_1,Medium,PROD787,2010-11-12 18:22:19+00:00,Queued_Awaiting Assignment
1-333164156,3,Org line A2,United Kingdom,be,Ian,G42 3rd,A2_1,Medium,PROD787,2010-11-23 14:10:22+00:00,Accepted_Assigned
1-333164156,4,Org line A2,United Kingdom,be,Alan,G42 3rd,A2_1,Medium,PROD787,2011-01-07 13:55:04+00:00,Accepted_Assigned
1-333164156,5,Org line A2,United Kingdom,be,Alan,G42 3rd,A2_1,Medium,PROD787,2011-01-11 16:13:42+00:00,Accepted_Wait
1-333164156,6,Org line V11,Denmark,be,Lars,C8,,Medium,PROD787,2011-05-19 13:45:16+00:00,Accepted_In Progress
1-333164156,7,Org line A2,Belgium,be,Ibrahim,G8 2nd,A2_2,Medium,PROD787,2011-05-19 13:49:04+00:00,Queued_Awaiting Assignment
1-333164156,8,Org line A2,Belgium,be,Ibrahim,G8 2nd,A2_2,Medium,PROD787,2011-08-25 13:24:01+00:00,Accepted_In Progress
1-333164156,9,Org line A2,Belgium,be,Ward,G7 3rd,A2_4,Medium,PROD787,2011-08-25 13:24:43+00:00,Queued_Awaiting Assignment
1-333164156,10,Org line A2,Belgium,be,Liesbet,G7 3rd,A2_4,Medium,PROD787,2011-08-25 13:25:33+00:00,Accepted_Assigned
1-333164156,11,Org line A2,Belgium,be,Liesbet,G7 3rd,A2_4,Medium,PROD787,2011-10-26 15:07:30+00:00,Accepted_In Progress
1-333164156,12,Org line A2,Belgium,be,Liesbet,G7 3rd,A2_4,Medium,PROD787,2012-03-30 09:45:20+00:00,Completed_Closed
1-335260940,0,Org line A2,Belgium,se,Joris,N15 2nd,A2_1,Medium,PROD180,2009-11-24 08:44:43+00:00,Accepted_In Progress
1-335260940,1,Org line A2,Belgium,se,Joris,N15 2nd,A2_1,Medium,PROD180,2009-11-30 09:45:01+00:00,Queued_Awaiting Assignment
1-335260940,2,Org line A2,Belgium,se,Joris,N15 2nd,A2_1,Medium,PROD180,2010-03-14 12:40:26+00:00,Accepted_In Progress
1-335260940,3,Org line A2,Belgium,se,Joris,N15 2nd,A2_1,Medium,PROD180,2010-03-14 12:40:36+00:00,Unmatched_Unmatched
1-335260940,4,Org line A2,Belgium,se,Joris,N15 2nd,A2_1,Medium,PROD180,2012-01-18 13:26:41+00:00,Completed_Closed
1-337229341,0,Org line A2,Sweden,se,Lars,G356 2nd,A2_3,Major,PROD147,2009-12-04 11:10:14+00:00,Unmatched_Unmatched
1-337229341,1,Org line A2,Sweden,se,Lars,G356 2nd,A2_3,Major,PROD147,2010-11-29 10:52:49+00:00,Accepted_Assigned
1-337229341,2,Org line A2,Sweden,se,Lars,G356 2nd,A2_3,Major,PROD147,2012-04-14 15:22:00+00:00,Accepted_In Progress
1-337229341,3,Org line A2,Sweden,se,Lars,G356 2nd,A2_3,Major,PROD147,2012-04-14 15:22:21+00:00,Completed_Closed
1-338946805,0,Org line A2,Sweden,se,Andre,M21 3rd,A2_3,High,PROD708,2009-12-14 13:29:17+00:00,Accepted_In Progress
1-338946805,1,Org line A2,Sweden,se,Andre,M21 3rd,A2_3,High,PROD708,2012-01-10 08:32:43+00:00,Accepted_In Progress
1-338946805,2,Org line A2,Sweden,se,Andre,M21 3rd,A2_3,High,PROD708,2012-01-10 08:33:57+00:00,Completed_Closed
1-339798202,0,Org line A2,INDIA,se,Minnie,G30 2nd,A2_2,Medium,PROD191,2009-12-16 11:59:24+00:00,Accepted_In Progress
1-339798202,1,Org line A2,INDIA,se,Minnie,G30 2nd,A2_2,Medium,PROD191,2012-03-15 11:21:25+00:00,Accepted_In Progress
1-339798202,2,Org line A2,INDIA,se,Minnie,G30 2nd,A2_2,Medium,PROD191,2012-03-15 11:21:47+00:00,Completed_Closed
1-339889001,0,Org line A2,Sweden,se,Kenny,L28 2nd,A2_1,High,PROD577,2009-12-16 19:47:26+00:00,Accepted_In Progress
1-339889001,1,Org line A2,Sweden,se,Kenny,L28 2nd,A2_1,High,PROD577,2012-03-14 12:04:51+00:00,Accepted_In Progress
1-339889001,2,Org line A2,Sweden,se,Kenny,L28 2nd,A2_1,High,PROD577,2012-03-14 12:07:29+00:00,Completed_Closed
1-340984229,0,Org line A2,Sweden,se,Jüri,G345 2nd,A2_1,Medium,PROD541,2009-12-22 08:09:31+00:00,Accepted_In Progress
1-340984229,1,Org line A2,Sweden,se,Jüri,G345 2nd,A2_1,Medium,PROD541,2009-12-22 08:25:22+00:00,Unmatched_Unmatched
1-340984229,2,Org line A2,Sweden,se,Jüri,G345 2nd,A2_1,Medium,PROD541,2012-02-01 11:38:06+00:00,Completed_Closed
1-341002175,0,Org line A2,Sweden,se,Jüri,G345 2nd,A2_1,Low,PROD541,2009-12-22 09:56:03+00:00,Accepted_Wait
1-341002175,1,Org line A2,Sweden,se,Jüri,G345 2nd,A2_1,Low,PROD541,2012-02-01 11:39:50+00:00,Accepted_In Progress
1-341002175,2,Org line A2,Sweden,se,Jüri,G345 2nd,A2_1,Low,PROD541,2012-02-01 11:40:25+00:00,Completed_Closed
1-342442140,0,Org line A2,Sweden,se,Lena,G354 3rd,A2_3,Medium,PROD708,2010-01-05 15:42:20+00:00,Accepted_In Progress
1-342442140,1,Org line A2,Sweden,se,Lena,G354 3rd,A2_3,Medium,PROD708,2012-03-20 15:14:00+00:00,Completed_Closed
1-345132462,0,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Medium,PROD753,2010-01-14 09:34:54+00:00,Accepted_In Progress
1-345132462,1,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Medium,PROD753,2010-01-27 09:43:29+00:00,Accepted_Wait
1-345132462,2,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Medium,PROD753,2010-02-03 09:20:05+00:00,Accepted_Assigned
1-345132462,3,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Medium,PROD753,2010-02-22 07:33:08+00:00,Accepted_Wait
1-345132462,4,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Medium,PROD753,2011-09-01 22:17:47+00:00,Accepted_In Progress
1-345132462,5,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Medium,PROD753,2012-02-01 09:24:17+00:00,Accepted_In Progress
1-345132462,6,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Medium,PROD753,2012-02-01 09:24:59+00:00,Completed_Closed
1-345255471,0,Org line C,Sweden,gb,Mats,G88 2nd,E_4,Medium,PROD793,2010-01-14 14:02:21+00:00,Accepted_In Progress
1-345255471,1,Org line C,Sweden,gb,Mats,G88 2nd,E_4,Medium,PROD793,2010-01-15 14:10:22+00:00,Queued_Awaiting Assignment
1-345255471,2,Org line C,Sweden,gb,Mats,G88 2nd,E_4,Medium,PROD793,2011-09-23 13:06:05+00:00,Queued_Awaiting Assignment
1-345255471,3,Org line C,Sweden,gb,Mats,G88 2nd,E_4,Medium,PROD793,2012-02-08 07:11:21+00:00,Accepted_In Progress
1-345255471,4,Org line C,Sweden,gb,Mats,G88 2nd,E_4,Medium,PROD793,2012-02-08 07:14:29+00:00,Completed_Closed
