trace_id,event_id,timestamp,activity,resource
Case7,4,2013-11-25 06:57:19+00:00,Resolve ticket,Value 11
Case7,5,2013-12-10 06:57:37+00:00,Closed,Value 3
Case8,0,2012-07-05 05:30:32+00:00,Assign seriousness,Value 1
Case8,1,2012-07-05 06:25:45+00:00,Take in charge ticket,Value 6
Case8,2,2012-07-05 06:44:46+00:00,Resolve ticket,Value 6
Case8,3,2012-09-02 05:40:27+00:00,Closed,Value 5
Case9,0,2010-05-07 10:02:21+00:00,Insert ticket,Value 12
Case9,1,2010-05-07 10:02:34+00:00,Assign seriousness,Value 12
Case9,2,2010-05-24 07:26:28+00:00,Take in charge ticket,Value 6
Case9,3,2010-05-25 12:35:44+00:00,Resolve ticket,Value 12
Case9,4,2010-06-09 12:35:56+00:00,Closed,Value 5
Case10,0,2010-02-10 06:50:20+00:00,Assign seriousness,Value 2
Case10,1,2010-03-19 06:47:06+00:00,Take in charge ticket,Value 2
Case10,2,2010-03-19 06:47:13+00:00,Resolve ticket,Value 2
Case10,3,2010-04-03 04:47:38+00:00,Closed,Value 5
Case11,0,2011-12-21 13:24:41+00:00,Assign seriousness,Value 4
Case11,1,2011-12-21 13:25:34+00:00,Take in charge ticket,Value 4
Case11,2,2011-12-22 07:55:43+00:00,Resolve ticket,Value 4
Case11,3,2012-01-21 13:30:31+00:00,Closed,Value 5
Case12,0,2013-03-18 08:47:34+00:00,Assign seriousness,Value 4
Case12,1,2013-03-18 13:03:49+00:00,Take in charge ticket,Value 2
Case12,2,2013-04-03 04:13:38+00:00,Resolve ticket,Value 2
Case12,3,2013-04-18 04:13:53+00:00,Closed,Value 3
Case13,0,2012-12-17 07:47:49+00:00,Assign seriousness,Value 4
Case13,1,2013-01-02 07:22:43+00:00,Take in charge ticket,Value 4
Case13,2,2013-01-04 08:29:36+00:00,Resolve ticket,Value 4
Case13,3,2013-01-19 08:29:51+00:00,Closed,Value 3
Case14,0,2011-07-05 10:47:08+00:00,Assign seriousness,Value 13
Case14,1,2011-07-05 10:47:22+00:00,Take in charge ticket,Value 13
Case14,2,2011-07-05 10:52:37+00:00,Resolve ticket,Value 13
Case14,3,2011-08-05 10:50:21+00:00,Closed,Value 5
Case15,0,2013-02-20 07:58:27+00:00,Assign seriousness,Value 2
Case15,1,2013-03-08 06:25:42+00:00,Assign seriousness,Value 2
Case15,2,2013-03-08 06:30:43+00:00,Take in charge ticket,Value 9
Case15,3,2013-03-08 06:34:08+00:00,Resolve ticket,Value 9
Case15,4,2013-03-23 06:34:25+00:00,Closed,Value 3
Case16,0,2012-02-22 12:16:52+00:00,Assign seriousness,Value 1
Case16,1,2012-02-22 14:14:07+00:00,Take in charge ticket,Value 9
Case16,2,2012-02-22 14:23:57+00:00,Take in charge ticket,Value 1
Case16,3,2012-02-23 07:47:38+00:00,Resolve ticket,Value 9
Case16,4,2012-03-24 12:20:19+00:00,Closed,Value 5
Case17,0,2011-10-14 04:10:47+00:00,Assign seriousness,Value 1
Case17,1,2011-11-02 14:17:52+00:00,Take in charge ticket,Value 2
Case17,2,2011-11-09 11:31:37+00:00,Resolve ticket,Value 2
Case17,3,2011-11-24 13:57:55+00:00,Closed,Value 5
Case18,0,2013-03-01 14:06:11+00:00,Assign seriousness,Value 1
Case18,1,2013-03-18 12:04:03+00:00,Take in charge ticket,Value 1
Case18,2,2013-03-19 08:22:40+00:00,Resolve ticket,Value 1
Case18,3,2013-03-19 08:22:40+00:00,Resolve ticket,Value 1
Case18,4,2013-04-03 06:23:01+00:00,Closed,Value 3
Case19,0,2010-07-07 04:54:04+00:00,Assign seriousness,Value 2
Case19,1,2010-07-09 07:10:52+00:00,Take in charge ticket,Value 7
Case19,2,2010-07-09 07:11:18+00:00,Resolve ticket,Value 7
Case19,3,2010-08-07 05:00:22+00:00,Closed,Value 5
Case20,0,2013-05-09 04:10:37+00:00,Assign seriousness,Value 14
Case20,1,2013-06-04 10:33:01+00:00,Take in charge ticket,Value 9
Case20,2,2013-06-10 06:06:43+00:00,Wait,Value 9
Case20,3,2013-06-19 06:12:02+00:00,Resolve ticket,Value 9
Case20,4,2013-07-04 06:12:15+00:00,Closed,Value 3
Case21,0,2011-01-14 13:15:21+00:00,Assign seriousness,Value 8
Case21,1,2011-01-27 06:06:37+00:00,Take in charge ticket,Value 2
Case21,2,2011-01-27 08:19:15+00:00,Resolve ticket,Value 2
Case21,3,2011-02-26 08:19:37+00:00,Closed,Value 5
Case22,0,2012-07-23 04:49:04+00:00,Assign seriousness,Value 1
Case22,1,2012-07-23 04:49:14+00:00,Take in charge ticket,Value 1
Case22,2,2012-07-23 05:51:59+00:00,Wait,Value 1
Case22,3,2012-08-27 07:05:23+00:00,Resolve ticket,Value 1
Case22,4,2012-09-11 07:05:33+00:00,Closed,Value 3
Case23,0,2012-12-19 14:33:23+00:00,Assign seriousness,Value 13
Case23,1,2013-01-03 06:26:14+00:00,Take in charge ticket,Value 2
Case23,2,2013-01-22 13:50:53+00:00,Resolve ticket,Value 1
Case23,3,2013-02-06 13:51:06+00:00,Closed,Value 3
Case24,0,2010-04-27 06:49:56+00:00,Assign seriousness,Value 2
Case24,1,2010-06-08 08:06:56+00:00,Take in charge ticket,Value 2
Case24,2,2010-06-08 11:46:16+00:00,Resolve ticket,Value 2
Case24,3,2010-06-23 11:46:28+00:00,Closed,Value 5
Case25,0,2010-12-30 07:27:17+00:00,Assign seriousness,Value 13
Case25,1,2010-12-30 11:14:04+00:00,Take in charge ticket,Value 2
Case25,2,2010-12-30 13:16:35+00:00,Resolve ticket,Value 2
Case25,3,2011-02-16 07:30:28+00:00,Closed,Value 5
Case26,0,2011-03-31 04:28:47+00:00,Assign seriousness,Value 2
Case26,1,2011-03-31 04:31:59+00:00,Take in charge ticket,Value 2
Case26,2,2011-03-31 05:39:41+00:00,Wait,Value 2
Case26,3,2011-03-31 08:00:28+00:00,Take in charge ticket,Value 2
Case26,4,2011-03-31 08:00:41+00:00,Resolve ticket,Value 2
Case26,5,2011-05-05 06:50:46+00:00,Closed,Value 5
Case27,0,2011-11-24 12:02:16+00:00,Assign seriousness,Value 1
Case27,1,2011-11-24 12:02:35+00:00,Take in charge ticket,Value 1
Case27,2,2011-12-12 07:04:47+00:00,Resolve ticket,Value 13
Case27,3,2011-12-27 07:05:04+00:00,Closed,Value 5
Case28,0,2013-10-25 12:53:59+00:00,Assign seriousness,Value 9
Case28,1,2013-10-25 12:54:05+00:00,Take in charge ticket,Value 9
Case28,2,2013-10-25 12:54:12+00:00,Create SW anomaly,Value 9
Case28,3,2013-10-25 12:54:23+00:00,Require upgrade,Value 9
Case28,4,2013-11-14 13:55:48+00:00,Require upgrade,Value 1
Case28,5,2013-12-23 06:08:05+00:00,Resolve ticket,Value 1
Case29,0,2012-07-30 07:07:32+00:00,Assign seriousness,Value 1
Case29,1,2012-07-30 07:07:40+00:00,Take in charge ticket,Value 1
Case29,2,2012-07-30 09:29:40+00:00,Resolve ticket,Value 1
Case29,3,2012-09-14 07:10:38+00:00,Closed,Value 5
Case30,0,2011-01-21 07:47:20+00:00,Assign seriousness,Value 2
Case30,1,2011-02-07 07:19:45+00:00,Take in charge ticket,Value 2
Case30,2,2011-02-10 07:01:20+00:00,Resolve ticket,Value 2
Case30,3,2011-02-25 07:01:35+00:00,Closed,Value 5
Case31,0,2013-04-15 09:41:20+00:00,Assign seriousness,Value 4
Case31,1,2013-04-18 04:06:11+00:00,Take in charge ticket,Value 9
Case31,2,2013-04-18 04:18:02+00:00,Create SW anomaly,Value 9
Case31,3,2013-04-18 04:18:23+00:00,Require upgrade,Value 9
Case31,4,2013-05-15 10:30:39+00:00,Resolve ticket,Value 9
Case31,5,2013-05-30 10:31:00+00:00,Closed,Value 3
Case32,0,2011-04-27 04:38:44+00:00,Assign seriousness,Value 8
Case32,1,2011-04-27 09:46:13+00:00,Take in charge ticket,Value 8
Case32,2,2011-04-28 05:18:08+00:00,Resolve ticket,Value 2
Case32,3,2011-06-04 04:40:30+00:00,Closed,Value 5
Case33,0,2013-04-29 10:22:48+00:00,Assign seriousness,Value 14
Case33,1,2013-05-14 11:53:46+00:00,Take in charge ticket,Value 14
Case33,2,2013-05-15 07:19:05+00:00,Resolve ticket,Value 14
Case33,3,2013-05-30 07:19:20+00:00,Closed,Value 3
Case34,0,2013-06-11 10:56:40+00:00,Assign seriousness,Value 14
Case34,1,2013-06-25 07:42:45+00:00,Take in charge ticket,Value 14
Case34,2,2013-06-25 07:43:50+00:00,Wait,Value 14
Case34,3,2013-06-26 10:27:04+00:00,Wait,Value 9
Case34,4,2013-07-05 07:18:32+00:00,Resolve ticket,Value 9
Case34,5,2013-07-20 07:18:42+00:00,Closed,Value 3
Case35,0,2012-01-18 06:15:30+00:00,Assign seriousness,Value 1
Case35,1,2012-01-18 07:46:37+00:00,Resolve ticket,Value 1
Case35,2,2012-03-10 06:20:43+00:00,Closed,Value 5
Case36,0,2011-06-29 07:06:48+00:00,Assign seriousness,Value 2
Case36,1,2011-06-30 09:58:23+00:00,Take in charge ticket,Value 6
Case36,2,2011-07-05 04:32:43+00:00,Resolve ticket,Value 6
Case36,3,2011-07-30 07:10:20+00:00,Closed,Value 5
Case37,0,2011-02-10 09:13:07+00:00,Assign seriousness,Value 8
Case37,1,2011-02-10 09:13:33+00:00,Take in charge ticket,Value 8
Case37,2,2011-02-10 13:20:02+00:00,Resolve ticket,Value 9
Case37,3,2011-03-02 11:23:58+00:00,Resolve ticket,Value 2
Case37,4,2011-03-02 11:24:07+00:00,Take in charge ticket,Value 2
Case37,5,2011-03-02 13:27:52+00:00,Wait,Value 2
Case37,6,2011-03-04 07:37:50+00:00,Take in charge ticket,Value 2
Case37,7,2011-03-04 07:37:55+00:00,Resolve ticket,Value 2
Case37,8,2011-04-03 05:38:21+00:00,Closed,Value 5
Case38,0,2012-03-20 05:57:45+00:00,Assign seriousness,Value 4
Case38,1,2012-03-20 05:58:15+00:00,Take in charge ticket,Value 4
Case38,2,2012-03-20 06:18:56+00:00,Resolve ticket,Value 4
Case38,3,2012-04-21 13:00:36+00:00,Closed,Value 5
Case39,0,2013-08-29 08:05:59+00:00,Assign seriousness,Value 14
Case39,1,2013-09-11 09:57:48+00:00,Take in charge ticket,Value 2
Case39,2,2013-09-12 06:46:36+00:00,Wait,Value 4
Case39,3,2013-09-27 06:50:58+00:00,Resolve ticket,Value 4
Case39,4,2013-10-12 06:51:11+00:00,Closed,Value 3
Case40,0,2012-08-09 09:13:03+00:00,Assign seriousness,Value 4
Case40,1,2012-08-09 09:13:29+00:00,Take in charge ticket,Value 4
Case40,2,2012-08-09 09:46:00+00:00,Resolve ticket,Value 13
Case40,3,2012-09-12 09:20:25+00:00,Closed,Value 5
Case41,0,2010-12-14 08:44:26+00:00,Assign seriousness,Value 14
Case41,1,2010-12-14 08:44:57+00:00,Take in charge ticket,Value 14
Case41,2,2010-12-14 08:45:12+00:00,Resolve ticket,Value 14
Case41,3,2011-01-27 08:50:31+00:00,Closed,Value 5
Case42,0,2011-06-16 09:23:39+00:00,Assign seriousness,Value 8
Case42,1,2011-06-16 09:51:05+00:00,Take in charge ticket,Value 8
Case42,2,2011-06-16 10:39:51+00:00,Resolve ticket,Value 8
Case42,3,2011-07-30 09:30:33+00:00,Closed,Value 5
Case43,0,2012-04-10 05:56:32+00:00,Assign seriousness,Value 1
Case43,1,2012-04-10 06:27:27+00:00,Take in charge ticket,Value 4
Case43,2,2012-04-10 07:53:28+00:00,Resolve ticket,Value 4
Case43,3,2012-05-26 06:00:20+00:00,Closed,Value 5
Case44,0,2010-11-29 14:09:19+00:00,Assign seriousness,Value 2
Case44,1,2010-11-29 14:19:59+00:00,Take in charge ticket,Value 2
Case44,2,2010-11-29 14:20:51+00:00,Resolve ticket,Value 2
Case44,3,2010-12-31 14:10:28+00:00,Closed,Value 5
Case45,0,2012-01-20 12:08:14+00:00,Assign seriousness,Value 9
Case45,1,2012-01-25 09:46:19+00:00,Take in charge ticket,Value 9
Case45,2,2012-03-02 08:40:59+00:00,Resolve ticket,Value 9
Case45,3,2012-03-17 08:41:18+00:00,Closed,Value 5
Case46,0,2012-11-14 12:33:17+00:00,Assign seriousness,Value 1
Case46,1,2012-11-15 11:33:28+00:00,Take in charge ticket,Value 2
Case46,2,2012-11-15 11:33:59+00:00,Take in charge ticket,Value 12
Case46,3,2012-11-16 09:37:21+00:00,Wait,Value 12
Case46,4,2012-12-14 12:20:49+00:00,Resolve ticket,Value 12
Case46,5,2012-12-29 12:21:03+00:00,Closed,Value 3
Case47,0,2011-05-25 06:48:18+00:00,Assign seriousness,Value 8
Case47,1,2011-05-25 06:48:43+00:00,Take in charge ticket,Value 8
Case47,2,2011-05-30 12:04:34+00:00,Resolve ticket,Value 15
Case47,3,2011-07-01 06:50:37+00:00,Closed,Value 5
Case48,0,2010-12-01 11:42:59+00:00,Insert ticket,Value 12
Case48,1,2010-12-02 12:07:33+00:00,Assign seriousness,Value 2
Case48,2,2010-12-02 12:07:41+00:00,Take in charge ticket,Value 2
Case48,3,2010-12-02 12:08:33+00:00,Resolve ticket,Value 2
Case48,4,2011-01-01 12:08:51+00:00,Closed,Value 5
Case49,0,2011-11-25 12:33:54+00:00,Assign seriousness,Value 2
Case49,1,2011-11-25 12:47:48+00:00,Take in charge ticket,Value 2
Case49,2,2011-11-29 12:47:35+00:00,Wait,Value 2
Case49,3,2011-12-02 14:25:57+00:00,Resolve ticket,Value 2
Case49,4,2012-01-07 14:20:26+00:00,Closed,Value 5
Case50,0,2012-01-16 08:53:01+00:00,Assign seriousness,Value 4
Case50,1,2012-01-16 08:59:51+00:00,Take in charge ticket,Value 4
Case50,2,2012-01-16 14:37:54+00:00,Resolve ticket,Value 4
Case50,3,2012-01-16 14:37:55+00:00,Resolve ticket,Value 4
Case50,4,2012-02-16 09:00:57+00:00,Closed,Value 5
Case51,0,2012-06-13 10:55:36+00:00,Assign seriousness,Value 4
Case51,1,2012-06-14 04:07:06+00:00,Take in charge ticket,Value 4
Case51,2,2012-06-15 04:16:27+00:00,Wait,Value 10
Case51,3,2012-07-02 06:41:04+00:00,Resolve ticket,Value 10
Case51,4,2012-07-18 04:30:21+00:00,Closed,Value 5
Case52,0,2012-07-26 12:18:26+00:00,Assign seriousness,Value 13
Case52,1,2012-07-26 12:18:35+00:00,Take in charge ticket,Value 13
Case52,2,2012-07-27 07:46:28+00:00,Resolve ticket,Value 13
Case52,3,2012-09-12 12:20:55+00:00,Closed,Value 5
Case53,0,2010-10-14 10:53:13+00:00,Assign seriousness,Value 2
Case53,1,2010-10-15 10:02:36+00:00,Take in charge ticket,Value 14
Case53,2,2010-10-28 12:12:55+00:00,Wait,Value 12
Case53,3,2010-10-28 12:12:55+00:00,Wait,Value 12
Case53,4,2010-10-29 10:42:01+00:00,Take in charge ticket,Value 12
Case53,5,2010-11-04 06:48:12+00:00,Resolve ticket,Value 2
Case53,6,2010-12-04 06:48:57+00:00,Closed,Value 5
Case54,0,2013-11-07 06:20:59+00:00,Assign seriousness,Value 1
Case54,1,2013-11-29 07:10:50+00:00,Take in charge ticket,Value 2
Case54,2,2013-12-02 14:14:22+00:00,Resolve ticket,Value 2
Case54,3,2013-12-17 14:14:40+00:00,Closed,Value 3
Case55,0,2011-10-26 12:51:42+00:00,Assign seriousness,Value 4
Case55,1,2011-10-31 13:19:03+00:00,Take in charge ticket,Value 9
Case55,2,2011-11-07 06:44:52+00:00,Wait,Value 9
Case55,3,2011-11-21 06:21:23+00:00,Resolve ticket,Value 9
Case55,4,2011-12-06 06:21:36+00:00,Closed,Value 5
Case56,0,2012-01-30 09:32:58+00:00,Assign seriousness,Value 2
Case56,1,2012-01-30 09:33:23+00:00,Resolve ticket,Value 2
Case56,2,2012-03-14 09:40:25+00:00,Closed,Value 5
Case57,0,2010-10-29 06:39:23+00:00,Assign seriousness,Value 6
Case57,1,2010-11-02 12:56:13+00:00,Take in charge ticket,Value 6
Case57,2,2010-11-02 13:39:05+00:00,Resolve ticket,Value 6
Case57,3,2010-11-30 08:40:55+00:00,Closed,Value 5
Case58,0,2012-11-16 13:49:30+00:00,Assign seriousness,Value 1
Case58,1,2012-11-16 13:49:51+00:00,Create SW anomaly,Value 1
Case58,2,2012-11-28 11:50:07+00:00,Require upgrade,Value 2
Case58,3,2012-12-17 07:55:05+00:00,Resolve ticket,Value 2
Case58,4,2013-01-01 07:55:26+00:00,Closed,Value 3
Case59,0,2012-03-28 09:28:37+00:00,Assign seriousness,Value 1
Case59,1,2012-03-28 09:28:47+00:00,Take in charge ticket,Value 1
Case59,2,2012-03-28 12:32:57+00:00,Resolve ticket,Value 1
Case59,3,2012-03-28 12:32:57+00:00,Resolve ticket,Value 1
Case59,4,2012-04-28 09:30:17+00:00,Closed,Value 5
Case60,0,2011-04-06 12:35:49+00:00,Assign seriousness,Value 13
Case60,1,2011-04-06 12:36:04+00:00,Take in charge ticket,Value 13
Case60,2,2011-04-07 12:41:23+00:00,Wait,Value 13
Case60,3,2011-04-13 05:49:14+00:00,Take in charge ticket,Value 2
Case60,4,2011-04-13 05:49:22+00:00,Resolve ticket,Value 2
Case60,5,2011-05-28 05:50:26+00:00,Closed,Value 5
Case61,0,2011-09-16 04:04:39+00:00,Assign seriousness,Value 1
Case61,1,2011-09-16 04:18:12+00:00,Take in charge ticket,Value 10
Case61,2,2011-09-16 12:04:46+00:00,Resolve ticket,Value 10
Case61,3,2011-11-10 06:10:45+00:00,Closed,Value 5
Case62,0,2012-05-28 12:16:47+00:00,Assign seriousness,Value 4
Case62,1,2012-05-28 12:18:27+00:00,Resolve ticket,Value 4
Case62,2,2012-07-26 12:20:39+00:00,Closed,Value 5
Case63,0,2013-03-06 13:05:09+00:00,Assign seriousness,Value 4
Case63,1,2013-03-22 06:58:01+00:00,Take in charge ticket,Value 9
Case63,2,2013-03-22 07:34:16+00:00,Resolve ticket,Value 9
Case63,3,2013-04-06 05:34:35+00:00,Closed,Value 3
Case64,0,2011-04-14 12:54:28+00:00,Assign seriousness,Value 13
Case64,1,2011-04-14 12:54:46+00:00,Assign seriousness,Value 13
Case64,2,2011-04-15 07:41:19+00:00,Wait,Value 11
Case64,3,2011-04-27 07:30:04+00:00,Take in charge ticket,Value 2
Case64,4,2011-04-27 07:30:13+00:00,Wait,Value 2
Case64,5,2011-05-06 06:42:13+00:00,Take in charge ticket,Value 11
Case64,6,2011-05-06 06:42:28+00:00,Resolve ticket,Value 11
Case64,7,2011-05-21 06:42:52+00:00,Closed,Value 5
Case65,0,2013-02-13 11:41:45+00:00,Assign seriousness,Value 4
Case65,1,2013-03-01 07:23:38+00:00,Take in charge ticket,Value 2
Case65,2,2013-03-01 08:14:20+00:00,Wait,Value 2
Case65,3,2013-03-01 14:01:20+00:00,Resolve ticket,Value 2
Case65,4,2013-03-16 14:01:36+00:00,Closed,Value 3
Case66,0,2012-06-26 05:46:53+00:00,Assign seriousness,Value 2
Case66,1,2012-06-26 05:47:39+00:00,Take in charge ticket,Value 13
Case66,2,2012-06-26 10:05:58+00:00,Resolve ticket,Value 13
Case66,3,2012-08-24 12:42:30+00:00,Closed,Value 2
Case67,0,2010-12-30 13:03:15+00:00,Assign seriousness,Value 13
Case67,1,2011-01-11 06:40:08+00:00,Take in charge ticket,Value 2
Case67,2,2011-01-13 09:45:18+00:00,Resolve ticket,Value 2
Case67,3,2011-02-12 13:10:46+00:00,Closed,Value 5
Case68,0,2012-04-11 11:09:22+00:00,Assign seriousness,Value 4
Case68,1,2012-04-11 11:09:45+00:00,Take in charge ticket,Value 4
Case68,2,2012-04-12 07:31:37+00:00,Resolve ticket,Value 13
Case68,3,2012-05-12 11:10:23+00:00,Closed,Value 5
Case69,0,2013-04-05 05:30:22+00:00,Assign seriousness,Value 1
Case69,1,2013-04-30 10:27:21+00:00,Take in charge ticket,Value 2
Case69,2,2013-04-30 10:32:43+00:00,Resolve ticket,Value 9
Case69,3,2013-05-15 10:32:57+00:00,Closed,Value 3
Case70,0,2011-06-07 04:34:53+00:00,Assign seriousness,Value 8
Case70,1,2011-06-07 04:35:14+00:00,Take in charge ticket,Value 8
Case70,2,2011-07-08 05:44:58+00:00,Wait,Value 2
Case70,3,2011-07-12 04:00:36+00:00,Resolve ticket,Value 2
Case70,4,2011-07-27 04:01:03+00:00,Closed,Value 5
Case71,0,2011-11-02 06:20:14+00:00,Assign seriousness,Value 4
Case71,1,2011-11-02 06:20:41+00:00,Take in charge ticket,Value 4
Case71,2,2011-11-02 07:49:41+00:00,Resolve ticket,Value 4
Case71,3,2011-12-07 06:30:27+00:00,Closed,Value 5
Case72,0,2011-01-25 11:15:31+00:00,Assign seriousness,Value 8
Case72,1,2011-01-25 11:15:58+00:00,Take in charge ticket,Value 8
Case72,2,2011-02-14 09:48:42+00:00,Resolve ticket,Value 15
Case72,3,2011-03-01 09:48:59+00:00,Closed,Value 5
Case73,0,2012-07-31 08:01:15+00:00,Assign seriousness,Value 1
Case73,1,2012-07-31 08:02:02+00:00,Resolve ticket,Value 1
Case73,2,2012-09-07 08:00:40+00:00,Closed,Value 5
Case74,0,2012-02-10 09:42:26+00:00,Resolve ticket,Value 13
Case74,1,2012-04-10 06:32:49+00:00,Closed,Value 2
Case75,0,2010-03-11 13:15:54+00:00,Assign seriousness,Value 2
Case75,1,2010-04-23 04:44:51+00:00,Assign seriousness,Value 2
Case75,2,2010-04-23 04:44:59+00:00,Take in charge ticket,Value 2
Case75,3,2010-04-23 04:45:04+00:00,Resolve ticket,Value 2
Case75,4,2010-05-08 04:45:21+00:00,Closed,Value 5
Case76,0,2012-01-10 13:01:36+00:00,Assign seriousness,Value 1
Case76,1,2012-01-10 13:58:08+00:00,Resolve ticket,Value 1
Case76,2,2012-02-25 13:10:39+00:00,Closed,Value 5
Case77,0,2013-09-25 10:32:38+00:00,Assign seriousness,Value 14
Case77,1,2013-09-25 10:33:02+00:00,Take in charge ticket,Value 14
Case77,2,2013-09-25 11:29:45+00:00,Wait,Value 14
Case77,3,2013-10-21 12:09:58+00:00,Resolve ticket,Value 14
Case77,4,2013-11-05 14:10:14+00:00,Closed,Value 3
Case78,0,2011-11-08 07:18:10+00:00,Assign seriousness,Value 6
Case78,1,2011-11-08 07:22:35+00:00,Take in charge ticket,Value 6
Case78,2,2011-12-05 14:33:12+00:00,Resolve ticket,Value 6
Case78,3,2011-12-20 14:33:29+00:00,Closed,Value 5
Case79,0,2013-10-03 04:22:55+00:00,Assign seriousness,Value 14
Case79,1,2013-10-04 06:08:21+00:00,Take in charge ticket,Value 2
Case79,2,2013-10-07 10:20:44+00:00,Wait,Value 2
Case79,3,2013-10-09 04:36:41+00:00,Wait,Value 2
Case79,4,2013-11-08 07:26:35+00:00,Resolve ticket,Value 2
Case79,5,2013-11-23 07:26:49+00:00,Closed,Value 3
Case80,0,2012-08-02 06:22:58+00:00,Assign seriousness,Value 13
Case80,1,2012-08-03 09:12:15+00:00,Take in charge ticket,Value 13
Case80,2,2012-08-10 07:13:48+00:00,Resolve ticket,Value 13
Case80,3,2012-09-09 07:14:13+00:00,Closed,Value 5
Case81,0,2010-02-09 06:31:47+00:00,Assign seriousness,Value 16
Case81,1,2010-02-09 06:35:12+00:00,Take in charge ticket,Value 16
Case81,2,2010-02-09 06:35:26+00:00,Wait,Value 16
Case81,3,2010-02-09 06:36:27+00:00,Wait,Value 2
Case81,4,2010-02-19 06:31:40+00:00,Take in charge ticket,Value 11
Case81,5,2010-02-19 06:32:00+00:00,Resolve ticket,Value 11
Case81,6,2010-04-09 04:40:43+00:00,Closed,Value 5
Case82,0,2013-10-31 12:55:24+00:00,Assign seriousness,Value 9
Case82,1,2013-10-31 13:04:25+00:00,Take in charge ticket,Value 9
Case82,2,2013-11-05 12:35:43+00:00,Wait,Value 9
Case82,3,2013-11-19 14:09:52+00:00,Resolve ticket,Value 9
Case82,4,2013-12-04 14:10:09+00:00,Closed,Value 3
Case83,0,2013-07-16 11:19:52+00:00,Assign seriousness,Value 1
Case83,1,2013-07-23 05:59:56+00:00,Take in charge ticket,Value 1
Case83,2,2013-07-24 05:11:00+00:00,Wait,Value 1
Case83,3,2013-08-19 12:22:57+00:00,Resolve ticket,Value 1
Case83,4,2013-09-03 12:23:13+00:00,Closed,Value 3
Case84,0,2010-12-10 07:15:54+00:00,Assign seriousness,Value 14
Case84,1,2010-12-10 07:16:17+00:00,Take in charge ticket,Value 14
Case84,2,2010-12-10 07:16:34+00:00,Resolve ticket,Value 14
Case84,3,2011-01-12 07:20:47+00:00,Closed,Value 5
Case85,0,2011-02-24 15:01:50+00:00,Assign seriousness,Value 8
Case85,1,2011-02-24 15:03:45+00:00,Take in charge ticket,Value 8
Case85,2,2011-03-04 08:02:13+00:00,Resolve ticket,Value 9
Case85,3,2011-04-09 13:00:27+00:00,Closed,Value 5
Case86,0,2012-06-12 13:12:48+00:00,Assign seriousness,Value 1
Case86,1,2012-06-15 04:27:33+00:00,Take in charge ticket,Value 9
Case86,2,2012-06-15 07:00:52+00:00,Wait,Value 9
Case86,3,2012-06-18 06:42:02+00:00,Resolve ticket,Value 9
Case86,4,2012-07-14 12:40:24+00:00,Closed,Value 5
Case87,0,2011-11-14 12:35:55+00:00,Assign seriousness,Value 1
Case87,1,2011-11-17 14:58:30+00:00,Take in charge ticket,Value 9
Case87,2,2011-11-17 14:59:03+00:00,Wait,Value 9
Case87,3,2011-11-25 07:30:07+00:00,Resolve ticket,Value 9
Case87,4,2011-11-28 11:50:35+00:00,Take in charge ticket,Value 9
